ITEM OBSOLETO;DESCRIÇÃO
CCSMIND004259;"ABRACADEIRA 5.8. - KV BRACADEIRAS 1/2"""" BLOQUEADO OPCAO CMPRHVC000373"
CCSMIND001186;ABRACADEIRA BIPARTIDA 1.1.16 BLOQUEADO
CCSMIND000110;ABRACADEIRA KV1-16PP (5.8) BLOQUEADO OPCAO OPCAO CMPRHVC000373
CCSMIND001464;ABRACADEIRA NYLON 100 X 2.5MM NATURAL BLOQUEADO OPCAO CMPRELE001745
CCSMIND001220;ABRACADEIRA NYLON 100X2.5 MM PRETO BLOQUEADO OPCAO CCSMIND000119
CCSMIND001465;ABRACADEIRA NYLON 200 X 2.5MM PRETO BLOQUEADO OPCAO CCSMIND100905
CMPRELE003458;ABRACADEIRA NYLON 200X4.8M NATURAL BLOQUEADO OPCAO CCSMIND100899
CCSMIND000120;ABRACADEIRA NYLON PRETA T120R-390X7.6MM BLOQUEADO OPCAO CCSMIND002369
CCSMIND001271;ABRACADEIRA NYLON T120L NATURAL BLOQUEADO
CMPRELE001137;ABRACADEIRA T-120R PT 368X7.6MM BLOQUEADO
SLOCIND000371;ABRACADEIRA TIPO D 1 1.2 BLOQUEADO OPCAO CCSMIND002930
CMPRELE004350;ABRACADEIRA TIPO D COM CUNHA 1.1.2 GE BLOQUEADO OPCAO CCSMIND003063
CMPRHVC000511;ABRACADEIRA1.1.8-KV BRACADEIRAS STANDARDBLOQUEADO OPCAO CMPRHVC000382
CMPRELE002181;ACESSORIO BCKMFOI - 11 - 10A BLOQUEADO
CMPRELE000967;ACIONADOR MANUAL BLOQUEADO
CMPRELE002103;ACOPLADOR 1P+N+T 32A -FEMEA BLOQUEADO OPCAO CMPRELE001375
CMPRELE000202;ACOPLADOR 2P 32A-AZUL. 148296 IP44 BLOQUEADO OPCAO CMPRELE001375
CCSMIND100914;ADAPTADOR MANGUEIRA R410A ROSCA BLOQUEADO OPCAO CCSMIND001626
CCSMIND000980;ADAPTADOR PARA LINGUETA EM ACO BLOQUEADO OPCAO CMPREST000212
CCSMIND000124;ADAPTADOR RAPIDO BLOQUEADO
CCSMIND000908;ARAME ZINCADO MACIO BLOQUEADO
CCSMIND002674;ARRUELA ALUM .2. - AU200 BLOQUEADO OPCAO CMPRELE000971
CCSMIND004014;ARRUELA DE PRESSAO 5.8 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004000
CCSMIND004027;ARRUELA DE PRESSAO M10 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004025
CCSMIND004085;ARRUELA DE PRESSAO M10 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004025
CCSMIND004051;ARRUELA DE PRESSAO M10 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004025
CCSMIND004093;ARRUELA DE PRESSAO M12 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004079
CCSMIND004081;ARRUELA DE PRESSAO M4 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004074
CCSMIND004091;ARRUELA DE PRESSAO M5 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004087
CCSMIND004077;ARRUELA DE PRESSAO M6 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004018
CCSMIND001684;ARRUELA DE PRESSAO M8 BICROMATIZADA BLOQUEADO OPCAO CCSMIND000180
CCSMIND004113;ARRUELA LISA 1.4 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004083
CCSMIND004115;ARRUELA LISA 1/4 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004035
CCSMIND004112;ARRUELA LISA 3.8. TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004041
CCSMIND004033;ARRUELA LISA 5.8 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004013
CCSMIND002172;ARRUELA LISA BIC 10.00 MM BLOQUEADO OPCAO CCSMIND001541
CCSMIND002169;ARRUELA LISA BIC 6.00 MM BLOQUEADO OPCAO CCSMIND000204
CCSMIND004061;ARRUELA LISA M10 TRIVALENTE AMARELO BLOQUEADO OPCAO
CCSMIND004084;ARRUELA LISA M10 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004031
CCSMIND004086;ARRUELA LISA M10 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004031
CCSMIND001278;ARRUELA LISA M12 BLOQUEADO OPCAO CCSMIND000742
CCSMIND004099;ARRUELA LISA M12 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004057
CCSMIND004063;ARRUELA LISA M12 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004057
CCSMIND004076;ARRUELA LISA M12 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004057
CCSMIND004118;ARRUELA LISA M12 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004057
CCSMIND004042;ARRUELA LISA M13 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004009
CCSMIND004056;ARRUELA LISA M16 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004053
CCSMIND004102;ARRUELA LISA M20 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004043
CCSMIND004062;ARRUELA LISA M4 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004060
CCSMIND004071;ARRUELA LISA M5 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004007
CCSMIND001167;ARRUELA LISA M6 BLOQUEADO OPCAO CCSMIND000176
CCSMIND004050;ARRUELA LISA M6 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004044
CCSMIND004111;ARRUELA LISA M6 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004044
CCSMIND004116;ARRUELA LISA M6 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004044
CCSMIND004080;ARRUELA LISA M7 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004047
CCSMIND004068;ARRUELA LISA M8 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004026
CCSMIND004117;ARRUELA LISA M8 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004026
CCSMIND004098;ARRUELA PRESSAO 1.4 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004019
CCSMIND004095;ARRUELA PRESSAO 3.8 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004030
CCSMIND004105;ARRUELA PRESSAO 3.8 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004030
CCSMIND004022;ARRUELA PRESSAO M6 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004018
CCSMIND004072;ARRUELA PRESSAO M6 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004018
CCSMIND004090;ARRUELA PRESSAO M6 TRIVALENTE AMARELO BLOQUEADO OPCAO CCSMIND004018
CMPRELE003310;BARRA CHATA COBRE ELETROLITICO 3.8 X 1.8 (3 M) BLOQUEADO OPCAO CMPRELE002739
CMPRELE001531;BARRA ELETROCALHA DE 100X50 MM CH16 GF BLOQUEADO OPCAO CMPRELE000216
CMPRELE000001;BARRAMENTO DE COBRE 1.2 X 3.16 BLOQUEADO OPCAO CMPRELE001984
CMPRELE006386;BARRAMENTO GHQ2170101 - FASE S-PBC-80232-201 BLOQUEADO OPCAO CMPRELE006377
CMPRELE006387;BARRAMENTO GHQ2170101 - FASE T-PBC-80233-201 BLOQUEADO OPCAO CMPRELE006378
CMPRELE006385;BARRAMENTO GHQ2170101 FASE R-PBC-80231-201 BLOQUEADO OPCAO CMPRELE006376
CMPRELE006388;BARRAMENTO GHQ2186701 - FASE R-PBC-80234-201 BLOQUEADO OPCAO CMPRELE006379
CMPRELE006389;BARRAMENTO GHQ2186701 - FASE S-PBC-80235-201 BLOQUEADO OPCAO CMPRELE006380
CMPRELE006390;BARRAMENTO GHQ2186701 - FASE T-PBC-80236-201 BLOQUEADO OPCAO CMPRELE006381
CMPRELE006384;BARRAMENTO GHQ2213601-1-GHQ2213601-1 BLOQUEADO OPCAO CMPRELE006375
CMPRELE006383;BARRAMENTO GHQ2242001-1-GHQ2242001-1 BLOQUEADO OPCAO CMPRELE006374
CMPRELE000346;BARRAMENTO TERRA 850 BLOQUEADO
CMPREST000054;BARRED 1.2 GG S 6M FX1T BLOQUEADO
CMPRELE003106;BASE DE CONEXOES P. UNIDADE DE CONTROLADOR DE REDE BLOQUEADO OPCAO CMPRELE004826
CMPRELE001141;BASE FIXACAO PI ACW400-630 BLOQUEADO OPCAO CCSMIND000419
CMPRELE003107;BASE TERMINAL SMARTX P. MODULO DE FONTE DE ALIMENT BLOQUEADO OPCAO CMPRELE004827
CCSMIND100886;BICO 3.5 BLOQUEADO
CCSMIND100889;BICO 5.0 BLOQUEADO
CCSMIND003345;BICO DE PULVERIZACAO SXHD411- AIRLESS 20MPA BLOQUEADO OPCAO CCSMIND003463
CMPRELE001142;BLOCO CONTATO BC-1  P/ACW100-800 BLOQUEADO OPÇÃO CCSMIND000430
CMPRELE000209;BLOCO TERMINAL SWITCHBOX 12 CONEXOES BLOQUEADO
CMPRHVC000957;BLOQUEADO
CCSMADM0069430;BLOQUEADOR DE ODORES FRECCO
CLIPADM000018;BLOQUEADOR DE ODORES FREECO
CLIPADM000164;BLOQUEADOR DE ODORES FREECO
CMPRELE001029;BORNE PARAFUSO 35 MM BLOQUEADO OPÇÃO CMPRELE001429
CMPRELE000100;BOTAO SINALEIRO EMERGENCIA BLOQUEADO OPCAO CMPRELE001601
CMPRELE000106;BOTAO SINALEIRO PRETO - WEG BLOQUEADO
CCSMIND;BROCA DE VIDEA 13MM BLOQUEADO OPCAO CCSMIND000000
CCSMIND001857;BUCHA DE ALUMINIO 1. P. ELETRODUTO BLOQUEADO OPCAO CCSMIND002106
CCSMIND001076;BUCHA REDUCAO 3 X 2 BLOQUEADO
CMPRELE001519;BUZZER 12V SE.XB2BS544CXAL -SCHNEIDER BLOQUEADO OPCAO CMPRELE002138
CCSMIND000681;CABO ATOX FLEX 90. 0.6KV 1X16 PT BLOQUEADO OPCAO CMPRELE002756
CMPRELE003387;CABO DE COBRE NU 50MM BLOQUEADO OPCAO CMPRELE003378
CMPRELE002278;CABO FLEX 750V 2.50MM VERDE 70G CL4 BLOQUEADO OPCAO CMPRELE001961
CMPRELE000663;CABO FLEXIVEL 1MM AZUL BLOQUEADO OPCAO CMPRELE001881
CCSMIND000069;CABO FLEXIVEL 1X25 VERDE BLOQUEADO
CMPRELE001731;CABO FLEXIVEL 450.750V 1.5MM. PRETO BLOQUEADO OPCAO CCSMIND000143
CCSMIND000654;CABO FLEXIVEL 750V 1MM VERDE BLOQUEADO OPCAO CMPRELE000655
CCSMIND000073;CABO FLEXIVEL 750V 1MM VERMELHO BLOQUEADO CMPRELE000731
CMPRELE001945;CABO HEPR ATOX FLEX 0.6.1KV 1 X 16MM2 BLOQUEADO OPCAO CMPRELE002756
CCSMADM000286;CABO PP 3X2.5MM BLOQUEADO OPCAO CMPRELE001513
CMPRELE001738;CABO PP 3X2.5MM BLOQUEADO OPCAO CMPRELE001513
CMPRELE001215;CABO PRETO PP 3X1.5MM BLOQUEADO OPCAO CMPRELE000641
CMPRSTM000086;CABO VULCANIZADO COM 3 FIOS AWG22 BLOQUEADO OPCAO CMPRHVC000124
CCSMIND000055;CALHA ELETRICA 50X80 BLOQUEADO OPCAO CMPRELE001763
CMPREST000044;CANTONEIRA L - ACO A36 1 X 1 X 1.8 POL BLOQUEADO OPCAO CMPREST000365
CMPRELE003613;CANTONEIRA ZZ PERFIL 38X38MM ALTA GE ELETROLITICO BLOQUEADO OPCAO CMPRELE003611
CCSMIND001819;CATALISADOR PTO VINILICO WASH PRIMER BLOQUEADO OPCAO CQMCIND000009
CMPRELE002471;CENTRAL DE ALARME DE INCENDIO BLOQUEADO
CMPREST000454;CHAPA 1200MM 3000MMX8MM (ASTM A36) BLOQUEADO OPCAO CMPREST000071
CMPREST000409;CHAPA ACO A36 CARBONO-2.65 X1500 X3000MM BLOQUEADO OPCAO CMPREST000061
CMPREST000535;CHAPA ACO CARBONO 1200 X 3000 X 12,7 MM- BLOQUEADO OPCAO CMPREST000455
CMPREST000360;CHAPA ACO CARBONO A36 2.0 X 1200 X 3000 BLOQUEADO
CMPREST000066;CHAPA ACO GALVANIZADO 2.65 X 1200 X 3000 BLOQUEADO OPCAO CMPREST000060
CMPREST000042;CHAPA ACO INOX 1.2 X 1200 X 3000 BLOQUEADO OPCAO CMPREST000169
CMPREST000110;CHAPA ASTMA36 1200MM 3000MM 4.75MM BLOQUEADO OPCAO CMPREST000058
CMPREST000259;CHAPA BLOQUEADO
CMPREST000067;CHAPA GALVANIZADO 1.25 X 1200 X 3000 BLOQUEADO OPCAO CMPREST000408
CMPREST000386;CHAPA PERFIL U-CANTONEIRA BLOQUEADO METALON 022023-09
CMPRELE000378;CHAVE SECCIONADORA REVERSORA ROTATIVA BLOQUEADO OPCAO CMPRELE001835
CMPRELE001104;CHAVE SELETORA DE 2 POSICOES FIXAS 45Co BLOQUEADO OPCAO CMPRELE001831
CCSMIND100721;CILINDRO ACETILENO VAZIO BLOQUEADO OPCAO CCSMIND004335
CMPRELE002595;CJ COM 1 BARRA DE NEUTRO COM ISOLADORES BLOQUEADO OPCAO CMPRELE001667
CMPRELE002932;CJ. PROTETOR COM POLICARBONATO H150 BLOQUEADO OPCAO CMPRELE000343
CMPRELE002106;CONDULETE MULT X 1. BLOQUEADO OPCAO CCSMIND002235
CCSMIND000159;CONDULETE MULTP X 1 BLOQUEADO OPCAO CCSMIND002235
CCSMIND100793;CONECTOR SINDAL TRIFASICO PORCELANA 6MM BLOQUEADO
CMPRELE000027;CONJ. BARRAMENTO INTERLIGACAO ABWC 1600E BLOQUEADO
CMPRELE000032;CONJ. BARRAMENTO NEUTRO1000A 0X700X0 BLOQUEADO OPCAO CMPRELE001617
CMPREST000356;CONJ.TRAVA.CIL.VOLPER 30300CR.8000CFR BLOQUEADO OPCAO CMPREST000411
CMPRELE001929;CONJUNTO BARRAMENTO DE COBRE BLOQUEADO
CMPRELE000115;CONJUNTO BARRAMENTO INTERLIGACAO AGW BLOQUEADO OPCAO CMPRELE001842
CMPRELE000272;CONJUNTO ESP.ELEMENTO FIX.CEGO75 RAL7035 BLOQUEADO
CMPRELE000349;CONJUNTO ESPELHO + PLACA H350 P. PFW01 BLOQUEADO OPCAO CMPRELE001864
CMPRELE000034;CONJUNTO ESPELHO ELEMENTO FIXO H500 CEGO BLOQUEADO OPCAO CMPRELE001648
CMPRELE001987;CONJUNTO ESTRUTURA MECANICA SOBREPOR BLOQUEADO 500X600X150 MT CINZA RAL 7035 OPCAO CMPRELE001679
CMPREST000603;CONJUNTO FERRAMENTAL PARA PORTA MESA BLOQUEADO
CMPRELE000342;CONJUNTO FUNDO C.ESPUMA 300X800 ZINCADO BLOQUEADO OPCAO CMPRELE002615
CMPRELE000091;CONJUNTO PARA BARRA ANTIPANICO PHT05 BLOQUEADO
CMPRELE000139;CONJUNTO PROTECAO 3B PLACA CEGA H150 BLOQUEADO OPCAO CMPRELE001860
CMPRELE000273;CONJUNTO PROTECAO POLICARBONATO H50 600 BLOQUEADO OPCAO CMPRELE001649
CMPRELE000116;CONJUNTO SUPORTE BARRAMENTO NEUTRO BLOQUEADO OPCAO CMPRELE002926
CMPRELE000370;CONTATOR CWB 121130 C13 BLOQUEADO
CMPRELE000759;CONTATOR CWB 25 11- 30D23 25A BLOQUEADO OPCAO CMPRELE001640
CMPRELE001990;CONTATOR CWB32-11-30D23 BLOQUEADO OPCAO CMPRELE000763
CMPRELE001602;CONTATOR TRIPOLAR DE 12A EM AC-3 BLOQUEADO OPCAO CMPRELE003036
CMPRELE002620;CONTROLADOR AVANCADO CORE GENSET+ BLOQUEADO +MD DE EXPANDE ENTRADA REMOTA AGC150 + CIO116 DEIF
CMPRSTM000077;CONTROLADOR LOGICO PROGRAMAVEL (CLP) BLOQUEADO OPCAO CMPRHVC000221
CMPRELE004210;CORPO PARA SINALIZADOR METAL.BLOQUEADO OPCAO CMPRELE004780
REVRELE004780;CORPO PARA SINALIZADOR MODULAR METALICO, LED UNIVERSAL, 230...240VCA ZB4BVM1 BLOQUEADO
CMPRELE002940;COTOVELO GALVANIZADO ALTA PRESSAO 1.1.2 BLOQUEADO OPCAO CCSMIND000605
CCSMIND001196;CREMONA COM INGRENAGEM A2P BLOQUEADO
CMPRELE001444;CRUZETA HORIZONTAL 90C° 600X150MM 3.16 GF BLOQUEADO
CMPRHVC000300;CURVA 1. ZINCADA BLOQUEADO
CCSMIND001389;CURVA 90 GRAU AZUL JUNCAO BLOQUEADO
CCSMIND001387;CURVA DE 3.4 - 45 POL BLOQUEADO
CMPRHVC000203;CURVA DE COBRE 90C° - PAREDE GROSSA 3.4 BLOQUEADO
CMPRHVC000181;CURVA DE COBRE 90C° 5.8 BLOQUEADO OPCAO CMPRHVC000016
CMPRELE003117;CURVA DE INVERSAO 90C° 50X50 MM GF CH16 BLOQUEADO OPCAO CMPRELE001507
CMPRELE000892;CURVA HOR. 90CO P.LEITO ARAMADO 600X150 BLOQUEADO OPCAO CMPRELE004061
CMPRELE001470;CURVA HORIZ.45C° ARAMADO 500X100MM 1.4.GF BLOQUEADO
CMPRELE000904;CURVA HORIZ.45C° LEITO PESADO200X100 BLOQUEADO
CMPRELE000894;CURVA HORIZ.45CO P. LEITO ARAMADO 600X150 BLOQUEADO
CMPRELE003661;CURVA HORIZONTAL 90C° 50X50 MM CH16 BLOQUEADO OPCAO CMPRELE003662
CMPRELE004294;CURVA VERTICAL EXTERNA 90C°200X100MM 1.4 GE BLOQUEADO OPCAO CMPRELE003794
CMPRELE001686;DISJ AJUST 3PC  252-630A 85KA 415V BLOQUEADO OPCAO CMPRELE001609
CMPRELE001761;DISJ BIPOL 6A CURVA C- MDW-C6-2 BLOQUEADO OPCAO CMPRELE001521
CMPRELE001113;DISJUN TRIP ABER EXTRAI 2500A BLOQUEADO PROTE LSIG(MICROPROC) MODEL ABW25ES3-25PC1E-B1110
CMPRELE003054;DISJUNTOR 3P 63A - C DWP63L-63 BLOQUEADO OPCAO CMPRELE000995
CMPRELE001190;DISJUNTOR 3P 63A ACW100H-FMU63-3 BLOQUEADO OPCAO CMPRELE001109
CMPRELE001048;DISJUNTOR 63A MONOPOLAR BLOQUEADO OPCAO CMPRELE001670
CMPRELE002999;DISJUNTOR ACTI9 IC60N 2P C 10A BLOQUEADO OPCAO CMPRELE003098
CMPRELE000996;DISJUNTOR EM CAIXA MOLDADA DWB160B-32 BLOQUEADO OPCAO CMPRELE001635
CMPRELE001049;DISJUNTOR MONOPOLAR MODELO: MDW-C16 BLOQUEADO OPCAO CMPRELE001851
CMPRELE001724;DISJUNTOR MOTOR 2.5 4A EVAPORADOR BLOQUEADO OPCAO CMPRELE001176
CMPRELE001725;DISJUNTOR MOTOR TRIPOLAR 10A 50KA BLOQUEADO OPCAO CMPRELE002050
CMPRELE000108;DISJUNTOR SCHNEIDER 32A BLOQUEADO
CMPRELE003034;DISJUNTOR TRIPOLAR CAIXA MOLDADA 20-25 A BLOQUEADO OPCAO CMPRELE001595
CMPRELE002731;DISJUNTOR TRIPOLAR CAIXA MOLDADA 32A BLOQUEADO OPCAO CMPRELE001635
CMPRELE001157;DISJUNTOR TRIPOLAR CAIXA MOLDADA 40A BLOQUEADO OPCAO CMPRELE001188
CMPRELE001487;DISJUNTOR TRIPOLAR EM CAIXA MOLDADA 100A BLOQUEADO
CMPRELE001760;DISJUNTOR UNI 10A CURVA C - MDW-C10 BLOQUEADO OPCAO CMPRELE001610
CMPRELE001045;DISJUNTOR10A BIPOLAR BLOQUEADO OPÇÃO CMPRELE001671
CMPRELE001046;DISJUNTOR16A BIPOLAR BLOQUEADO OPCAO CMPRELE001690 MODELO: MDW-C16-2
CMPRELE002891;DISPARADOR NSX100 MICROLOGIC 5.2E 40A 3P BLOQUEADO OPCAO CMPRELE002407
CCSMIND001546;DOBRADICA CORTA FOGO BLOQUEADO
CCSMIND000966;DOBRADICA EXTERNA ABERTURA DE 90C°.180C° BLOQUEADO OPCAO CMPREST000317
CMPRELE003840;ELETROCALHA ARAMADA 200X100 MM 1.4 GE BLOQUEADO OPCAO CMPRELE003697
CMPRELE003018;ELETROCALHA ARAMADA 200X100MM GF 1.4 GALVANIZADO A FOGO BLOQUEADO OPCAO CMPRELE001202
CMPRELE003749;ELETRODUTO ACO CARB ROSCAVEL MED. 1 GE BLOQUEADO OPCAO CMPRELE003902
CMPRELE004428;ELETRODUTO ACO GALV. MEDIO 1 X3000MM GE BLOQUEADO OPCAO CMPRELE003902
CCSMIND001246;EMENDA PARA LEITO ARAMADO BLOQUEADO OPCAO CMPRELE000890
CMPRELE006676;ESPELHO CEGO H=50 W=600MM REF PPFB5060BRA BLOQUEADO OPCAO CMPRELE006659
CCSMIND000028;ESPUMA EXPANSIVA 550ML BLOQUEADO OPCAO OPCAO CCSMIND000026
CMPRELE002062;ESTANHO BRILHANTE PARADO - INSUMOS BLOQUEADO OPCAO CMPRELE006313
CMPRELE002061;ESTANHO BRILHANTE PARADO - MAO DE OBRA BLOQUEADO OPCAO CMPRELE006312
CMPRELE002591;ESTRUTURA COMPLETA 2C (1.100X600X250) BLOQUEADO OPCAO CMPRELE001674
CMPRELE000260;FECHAMENTO DE PORTA 2300X850 RAL 7035 BLOQUEADO
CCSMIND001287;FITA DE ALTA FUSAO 19MMX10M BLOQUEADO OPCAO CCSMIND001768
CCSMIND001508;FITA DUPLA FACE BLOQUEADO OPCAO CCSMIND000703
CMPRHVC000294;FITA ELASTOMERICA CINZA 50MMX10M BLOQUEADO OPCAO CMPRHVC000386
CCSMIND002523;FITA ELASTOMERICA PVC PRETA 45MM X 25MM X 10M BLOQUEADO OPCAO CCSMIND000686
CMPRELE003268;FIXADOR ESTRUTURA EMPALETE REF LVS08701 BLOQUEADO NAO UTILIZAR
CMPRELE003692;FLANGE 100X50MM PZ GE ELETROLITICO BLOQUEADO OPCAO CMPRELE003624
CMPRELE001088;FLANGE 300X100MM GF BLOQUEADO
CMPRELE003624;FLANGE P. ELETROCALHA 100X50MM GE ELETROLITICO BLOQUEADO OPCAO CMPRELE004249
CMPRELE000219;FLANGE P. FIXACAO EM PAINEL 500X100 BLOQUEADO OPCAO CMPRELE002563
CMPRELE002678;FONTE ALIMENTACAO PSS24-W/5 BLOQUEADO OPÇÃO CMPRELE000087
CMPRELE005418;FONTE DE ALIMENTACAO - QUINT-PS/1AC/12DC/20 - 2866721 - PXC BLOQUEADO OPCAO CMPRELE004797
CMPRELE004599;FONTE DE ALIMENTACAO CHAVEADA 100.500V,24V,5A,120W REF ABL8RPS24050 BLOQUEADO OPCAO CMPRELE004744
CMPRELE001716;FONTE DE ALIMENTACAO ININTERRUPTA TRIO UPS 2G.3AC.24DC.20 - PXC BLOQUEADO OPCAO CMPRELE001518
CCSMIND001638;FX ESP PLISSADO 810X420X45MM.G4 BLOQUEADO OPCAO CCSMIND001639
CMPRELE001092;GANCHO CURTO P. PERFILADO 38X38MM GF BLOQUEADO
REVRELE004943;GRUPO GERADOR DE ENERGIA 455 KVA- HSW-455 T6B SP V380/60HZ AC36 INT DSE4520 BLOQUEADO OPCAO REVRELE004944
CMPRELE002248;HID SIGNO 25B LEITOR BIOMETRICO E CARTAO BLOQUEADO OPCAO CMPRSTM000006
CMPRHVC000400;ILHOS DE BORRACHA 028.58 BLOQUEADO OPCAO CMPRHVC000384
CCSMIND001020;ILHOS DE BORRACHA 1.8X49 BLOQUEADO
CCSMIND003164;ILHOS DE BORRACHA 1/2 X M10 BLOQUEADO OPCAO CCSMIND003159
CMPRELE004715;INTERRUPTOR DIFERENCIAL RESIDUAL ACTI9 ILD 4P 25A TIPO AC 30MA BLOQUEADO OPCAO CMPRELE004495
CMPRELE000983;INTERTRAVAMENTO MECANICO BLIM9-105 BLOQUEADO OPCAO CMPRELE002185
CCSMIND001936;ISOLADOR 30X30 M6 LARANJA BLOQUEADO OPCAO CCSMIND000672
CMPRELE001208;ISOLADOR 40X40 M6 VERMELHO BLOQUEADO OPCAO CMPRELE000393
CMPRELE003778;JUNCAO INTERNA TIPO T PARA PERFILADO 38X38MM GE BLOQUEADO OPCAO CMPRELE003758
CMPRELE002157;JUNCAO TIPO U GF BLOQUEADO
